ASX Listed Companies (1 June 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
FZO,Family ZONE Cyber,Information Technology,"26,081,600",0.001,,,
FZR,Fitzroy River Corp,Energy,"16,997,100",0.001,,,
G1A,Galena Mining,Materials,"98,428,700",0.005,,,
G88,Golden Mile Res Limited,Materials,"2,367,850",0.000,,,
GAL,Galileo Mining Limited,Materials,"14,764,600",0.001,,,
GAP,Gale Pacific Limited,Consumer Discretionary,"87,850,100",0.004,,,
GAS,State GAS Limited,Energy,"42,182,400",0.002,,,
GBA,Grandbridge Limited,Financials,"612,667",0.000,,,
GBE,Globe Metals &Mining,Materials,"6,988,840",0.000,,,
GBG,Gindalbie Metals Limited,Materials,"40,490,200",0.002,,,
GBI,Genera Biosystems,Health Care,"17,609,900",0.001,,,
GBM,GBM Gold Limited,Materials,"8,946,560",0.000,,,
GBP,Global Petroleum,Energy,"4,255,710",0.000,,,
GBR,Greatbould Resources,Materials,"5,304,660",0.000,,,
GBT,GBST Holdings,Information Technology,"177,252,000",0.008,,,
GBZ,GBM Rsources Limited,Materials,"4,362,390",0.000,,,
GC1,Glennon SML Co Limited,,"40,805,500",0.002,,,
GCI,Gryphon Capital Ordinary Units FP,,"191,800,000",0.009,,,
GCM,Garda Capital Groupinary/Units Stapled Securities,Financials,"43,143,300",0.002,,,
GCN,Goconnect Limited,Information Technology,"7,105,100",0.000,,,
GCR,Golden Cross,Materials,"2,540,560",0.000,,,
GCY,Gascoyne Res Limited,Materials,"39,189,700",0.002,,,
GDF,Garda DIV Prop Fund Ordinary Units FP,Real Estate,"224,991,000",0.010,,,
GDG,Generation DEV Group,Financials,"72,041,700",0.003,,,
GDI,GDI Property Groupinary/Units Stapled Securities,Real Estate,"714,943,000",0.033,,,
GDX,Vaneck Gold Miners ETF Cdis 1:1,,"97,595,800",0.005,,,
GEAR,Betshares GEAR Fund,,"89,004,500",0.004,,,
GED,Golden Deeps,Materials,"4,627,280",0.000,,,
GEM,G8 Education Limited,Consumer Discretionary,"1,361,440,000",0.063,,,
GES,Genesis Resources,Materials,"4,697,050",0.000,,,
GEV,Global Ene Ven Limited,Energy,"70,221,300",0.003,,,
GFI,Global Fortune Limited,Materials,"16,156,900",0.001,,,
GFL,Global Masters Fund,,"21,124,600",0.001,,,
GFS,Gasfields Limited,Energy,"22,338,800",0.001,,,
GGE,Grand Gulf Energy,Energy,"2,302,500",0.000,,,
GGG,Greenland Minerals,Materials,"147,244,000",0.007,,,
GGUS,Beta Geared US EQ,,"23,490,000",0.001,,,
GGX,GAS2GRID Limited,Energy,"3,194,580",0.000,,,
GIB,Gibb River Diamonds,Materials,"7,163,180",0.000,,,
GID,Gi Dynamics Inc Cdi Forus,Health Care,"16,036,500",0.001,,,
GLA,Gladiator Resources,Materials,"1,469,330",0.000,,,
GLB,Globe International,Consumer Discretionary,"72,147,000",0.003,,,
GLE,GLG Corp Limited,Consumer Discretionary,"11,115,000",0.001,,,
GLH,Global Health Limited,Health Care,"4,378,220",0.000,,,
GLIN,Ampcap Global Infra,,"26,938,700",0.001,,,
GLL,Galilee Energy Limited,Energy,"170,388,000",0.008,,,
GLN,Galan Lithium Limited,Materials,"29,100,200",0.001,,,
GLV,Globalvana,Energy,"5,658,960",0.000,,,
GMA,Genworth Mortgage,Financials,"1,133,290,000",0.052,,,
GMC,Gulf Manganese Corp,Materials,"28,818,400",0.001,,,
GMD,Genesis Minerals,Materials,"28,323,500",0.001,,,
GME,GME Resources Limited,Materials,"26,048,100",0.001,,,
GMG,Goodman Groupinary/Units Stapled Securities,Real Estate,"24,306,000,000",1.125,,,
GML,Gateway Mining,Materials,"14,005,800",0.001,,,
GMN,Gold Mountain Limited,Materials,"27,485,800",0.001,,,
GMR,Golden Rim Resources,Materials,"7,825,080",0.000,,,
GMV,G Medical,Health Care,"87,247,200",0.004,,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,766,770,000",0.082,,,
GNE,Genesis Energy Limited,Utilities,"2,989,050,000",0.138,,,
GNG,GR Engineering Limited,Materials,"136,725,000",0.006,,,
GNX,GENEX Power Limited,Utilities,"79,670,000",0.004,,,
GO2,THEGO2PEOPLE,Industrials,"4,811,810",0.000,,,
GOLD,ETFs Physical GOLD,Financials,"639,504,000",0.030,,,
GOO,Gooroo Ventures Limited,Information Technology,"4,841,080",0.000,,,
GOR,Gold Road Res Limited,Materials,"873,587,000",0.040,,,
GOVT,SPDR GOVT Bond,,"16,740,400",0.001,,,
GOW,Gowing Bros. Limited,Financials,"132,690,000",0.006,,,
GOZ,Growthpoint Propertyinary/Units Stapled Securities,Real Estate,"3,056,730,000",0.141,,,
GPP,Greenpower ENRGY Limited,Energy,"1,689,740",0.000,,,
GPR,Geopacific Resources,Materials,"36,286,700",0.002,,,
GPS,GPS Alliance Limited,Real Estate,"4,942,840",0.000,,,
GPT,GPT Groupinary/Units Stapled Securities,Real Estate,"10,396,200,000",0.481,,,
GPX,Graphex Mining Limited,Materials,"22,270,500",0.001,,,
GRB,Gage Roads Brewing,Consumer Staples,"104,809,000",0.005,,,
GROW,SCH Real Return Fund,,"54,536,400",0.003,,,
GRR,Grange Resources,Materials,"300,908,000",0.014,,,
GRV,Greenvale Energy Limited,Energy,"2,427,240",0.000,,,
GSL,Greatcell Solar Limited,Information Technology,"65,971,600",0.003,,,
GSM,Golden State Mining,Materials,"1,639,350",0.000,,,
GSN,Great Southern,Materials,"9,405,780",0.000,,,
GSS,Genetic Signatures,Health Care,"114,430,000",0.005,,,
GSW,Getswift Limited,Information Technology,"34,877,000",0.002,,,
GTE,Great Western Exp,Materials,"3,860,800",0.000,,,
GTG,Genetic Technologies,Health Care,"19,017,000",0.001,,,
GTK,Gentrack Group Limited,Information Technology,"488,292,000",0.023,,,
GTN,GTN Limited,Consumer Discretionary,"264,320,000",0.012,,,
GTR,Gti Resources,Materials,"1,953,820",0.000,,,
GUD,G.U.D. Holdings,Consumer Discretionary,"902,914,000",0.042,,,
GUL,Gullewa Limited,Materials,"4,803,940",0.000,,,
GVF,Global Value FND Limited,,"144,742,000",0.007,,,
GWA,GWA Group Limited,Industrials,"923,817,000",0.043,,,
GWR,GWR Group Limited,Materials,"27,886,900",0.001,,,
GXY,Galaxy Resources,Materials,"639,813,000",0.030,,,
GZL,GAZAL Corporation,Consumer Discretionary,"275,722,000",0.013,,,
HACK,Beta Global Cyber,,"145,241,000",0.007,,,
HAR,Haranga Res Limited,Materials,"1,671,610",0.000,,,
HAS,Hastings Tech Met,Materials,"150,720,000",0.007,,,
HAV,Havilah Resources,Materials,"31,646,100",0.001,,,
HAW,Hawthorn Resources,Materials,"17,963,900",0.001,,,
HBRD,Beta Active Hybrids,,"275,026,000",0.013,,,
HCH,Hot Chili Limited,Materials,"32,271,400",0.001,,,
HCO,Hylea Metals Limited,Materials,"1,602,230",0.000,,,
HCT,Holista Colltech Limited,Consumer Staples,"17,552,900",0.001,,,
HDX,Hughes Drilling Limited,Materials,"476,935",0.000,,,
HDY,Hardey Resources Limited,Materials,"7,947,950",0.000,,,
HE8,Helios Energy Limited,Energy,"209,044,000",0.010,,,
HEUR,Betashares WT Europe,,"35,594,700",0.002,,,
HFR,Highfield Res Limited,Materials,"240,553,000",0.011,,,
HGH,Heartland Group,Financials,"854,007,000",0.040,,,
HGM,High Grade Metals,Materials,"1,362,420",0.000,,,
HGO,Hillgrove Res Limited,Materials,"51,395,500",0.002,,,
HHM,Hampton Hill Mining,Materials,"4,127,280",0.000,,,
HHY,HHY Fund Ordinary Units FP,,"2,442,210",0.000,,,
HIL,Hills Limited,Information Technology,"40,597,500",0.002,,,
HIP,Hipo Resources Limited,Materials,"3,865,100",0.000,,,
HIT,Hitech Group Aust,Industrials,"38,050,000",0.002,,,
HJPN,Betashares WT Japan,,"47,059,000",0.002,,,
HLA,Healthia Limited,Health Care,"52,318,800",0.002,,,
HLO,Helloworld Travl Limited,Consumer Discretionary,"560,961,000",0.026,,,
HLS,Healius,Health Care,"1,966,540,000",0.091,,,
HLX,HELIX Resources,Materials,"7,640,400",0.000,,,
HM1,Hearts and Minds,,"586,000,000",0.027,,,
HMD,Heramed Limited,Health Care,"11,206,200",0.001,,,
HML,Henry Morgan Limited,,"60,998,500",0.003,,,
HMO,Hearmeout Limited,Information Technology,"4,471,680",0.000,,,
HMX,Hammer Metals Limited,Materials,"8,780,340",0.000,,,
HNG,HGL Limited,Industrials,"22,906,000",0.001,,,
HNR,Hannans Limited,Materials,"25,843,400",0.001,,,
HOG,Hawkley Oil and Gas,Energy,"1,219,580",0.000,,,
HOR,Horseshoe Metals Limited,Materials,"1,557,220",0.000,,,
HOT,Hotcopper Holdings,Information Technology,"19,257,300",0.001,,,
HPI,Hotel Propertyinary/Units Stapled Securities,Real Estate,"506,986,000",0.023,,,
HPR,High Peak Royalties,Energy,"12,282,200",0.001,,,
HRL,Hrlholding,Industrials,"61,675,300",0.003,,,
HRN,Horizon Gold Limited,Materials,"10,714,300",0.000,,,
HRR,Heron Resources,Materials,"147,417,000",0.007,,,
HSC,Homestay Care,Information Technology,"8,469,980",0.000,,,
HSN,Hansen Technologies,Information Technology,"771,539,000",0.036,,,
HSO,Healthscope Limited,Health Care,"4,301,630,000",0.199,,,
HT1,HT&E Limited,Consumer Discretionary,"528,749,000",0.024,,,
HT8,Harris Technology GL,Consumer Discretionary,"6,290,060",0.000,,,
HTA,Hutchison,Telecommunication Services,"1,764,430,000",0.082,,,
HUB,HUB24 Limited,Financials,"851,420,000",0.039,,,
HUO,Huon Aquaculture Group,Consumer Staples,"406,118,000",0.019,,,
HVN,Harvey Norman,Consumer Discretionary,"4,907,700,000",0.227,,,
HVST,Beta Divharvester,,"161,873,000",0.007,,,
HWK,Hawkstone MNG Limited,Materials,"13,687,600",0.001,,,
HXG,Hexagon Resources,Materials,"32,096,200",0.001,,,
HYD,HYDRIX Limited,Information Technology,"18,066,300",0.001,,,
HZN,Horizon Oil Limited,Energy,"149,728,000",0.007,,,
HZR,HAZER Group Limited,Materials,"32,096,100",0.001,,,
IAA,Ishs Asia 50 ETF,,"475,155,000",0.022,,,
IAB,IAB Holdings Limited,Telecommunication Services,"2,500,900",0.000,,,
IAF,Ishares Comp BND,,"758,173,000",0.035,,,
IAG,Insurance Australia,Financials,"17,679,500,000",0.818,,,
IAM,Intiger Group Limited,Information Technology,"3,355,790",0.000,,,
IAP,Investec Aust Prop Ordinary Units FP,Real Estate,"766,901,000",0.035,,,
IAU,Intrepid Mines,Materials,"16,944,900",0.001,,,
IB8,Ibosses Corp Limited,Consumer Discretionary,"46,438,000",0.002,,,
IBC,Ironbark Capital Limited,,"60,351,600",0.003,,,
IBG,Ironbark ZINC Limited,Materials,"15,612,300",0.001,,,
IBN,Ibuynew Group Limited,Real Estate,"653,805",0.000,,,
IBX,Imagion Biosys Limited,Health Care,"6,116,080",0.000,,,
ICG,Inca Minerals Limited,Materials,"12,320,400",0.001,,,
ICI,Icandy Interactive,Information Technology,"17,415,400",0.001,,,
ICN,Icon Energy Limited,Energy,"10,158,500",0.000,,,
ICQ,Icar Asia Limited,Consumer Discretionary,"90,345,100",0.004,,,
ICS,Icsglobal Limited,Health Care,"10,901,500",0.001,,,
ICT,Icollege Limited,Consumer Discretionary,"33,118,300",0.002,,,
ICU,Isentric Limited,Information Technology,"1,101,930",0.000,,,
ID8,Identitii Limited,Information Technology,"14,327,600",0.001,,,
IDA,Indiana Resources,Materials,"3,497,830",0.000,,,
IDT,IDT Australia Limited,Health Care,"40,181,000",0.002,,,
IDX,Integral Diagnostics,Health Care,"494,757,000",0.023,,,
IDZ,Indoor Skydive Aust,Consumer Discretionary,"2,597,230",0.000,,,
IEC,Intra Energy Corp,Energy,"5,428,140",0.000,,,
IEL,Idp Education Limited,Consumer Discretionary,"4,348,460,000",0.201,,,
IEM,Ishs MSCI Emg Mktetf,,"620,454,000",0.029,,,
IEQ,International Equiti,Real Estate,"4,487,820",0.000,,,
IEU,Ishs Europe ETF,,"685,533,000",0.032,,,
IFL,IOOF Holdings Limited,Financials,"1,860,700,000",0.086,,,
IFM,Infomedia Limited,Information Technology,"556,119,000",0.026,,,
IFN,Infigen Energyinary/Units Stapled Securities,Utilities,"463,933,000",0.021,,,
IFRA,Vaneck Infrastruct,,"129,597,000",0.006,,,
IFT,Infratil Limited,Utilities,"2,470,480,000",0.114,,,
IGB,Ishares Treasury,,"138,861,000",0.006,,,
IGE,Int Green Energy,Industrials,"52,567,500",0.002,,,
IGL,Ivegroup,Consumer Discretionary,"308,213,000",0.014,,,
IGN,Ignite Limited,Industrials,"5,822,840",0.000,,,
IGO,Independence Group,Materials,"2,633,530,000",0.122,,,
IHCB,Ishares GBL BND Aud,,"130,440,000",0.006,,,
IHD,Ishares S&P DIV Opp,,"234,942,000",0.011,,,
IHEB,Ishares Usdembond Au,,"16,531,700",0.001,,,
IHHY,Ishares GBLHGHYD Aud,,"27,217,500",0.001,,,
IHL,Imhealth Limited,Health Care,"11,056,000",0.001,,,
IHOO,Ishares Global 100,,"40,869,100",0.002,,,
IHR,Intellihr Holdings,Information Technology,"7,042,960",0.000,,,
IHVV,Ishares S&P 500 Aud,,"157,854,000",0.007,,,
IHWL,Ishares Core WLD Aud,,"57,254,700",0.003,,,
IJH,Ishares Mid-Cap ETF,,"151,370,000",0.007,,,
IJP,Ishs MSCI Japan ETF,,"263,558,000",0.012,,,
IJR,Ishares Small-Cap,,"178,940,000",0.008,,,
IKE,Ikegps Group Limited,Information Technology,"47,050,300",0.002,,,
IKO,Ishares MSCI SK ETF,,"56,111,000",0.003,,,
IKW,Ikwezi Mining Limited,Energy,"4,065,000",0.000,,,
ILB,Ishares GOV Infl,,"143,574,000",0.007,,,
ILC,ETF Units FP,,"316,536,000",0.015,,,
ILU,Iluka Resources,Materials,"4,115,140,000",0.190,,,
IMA,Image Resources NL,Materials,"228,426,000",0.011,,,
IMC,Immuron Limited,Health Care,"20,050,200",0.001,,,
IMD,IMDEX Limited,Materials,"386,402,000",0.018,,,
IME,Imexhs Limited,Information Technology,"15,430,600",0.001,,,
IMF,IMF Bentham Limited,Financials,"548,352,000",0.025,,,
IMM,Immutep Limited,Health Care,"91,357,200",0.004,,,
IMPQ,Einvest Fiscf,,"300,000",0.000,,,
IMS,Impelus Limited,Information Technology,"6,922,160",0.000,,,
IMU,Imugene Limited,Health Care,"61,367,400",0.003,,,
INA,Ingenia Groupinary/Units Stapled Securities,Real Estate,"754,036,000",0.035,,,
INCM,Beta Income Leaders,,"4,653,950",0.000,,,
IND,Indus Energy NL,Energy,"3,478,530",0.000,,,
INF,Infinity Lithium,Materials,"16,354,700",0.001,,,
ING,Inghams Group,Consumer Staples,"1,561,050,000",0.072,,,
INIF,Investsmartauincfund,,"39,689,200",0.002,,,
INK,Indago Energy Limited,Energy,"7,404,530",0.000,,,
INP,Incentiapay Limited,Consumer Discretionary,"12,373,500",0.001,,,
INR,Ioneer Limited,Materials,"250,747,000",0.012,,,
INV,Investsmart Group,Financials,"13,134,800",0.001,,,
IOD,Iodm Limited,Information Technology,"21,080,900",0.001,,,
IOO,Ishs Global 100 ETF,,"1,543,370,000",0.071,,,
IOR,Indiore Limited,Materials,"15,585,700",0.001,,,
IOT,IOT Group Limited,Consumer Discretionary,"1,762,840",0.000,,,
IOZ,Ishares S&P/ASX 200,,"1,228,230,000",0.057,,,
IP1,Int Payment Tech Limited,Information Technology,"6,176,810",0.000,,,
IPB,IPB Petroleum Limited,Energy,"8,994,950",0.000,,,
IPC,Imperial Pacific Limited,Financials,"3,519,380",0.000,,,
IPD,Impedimed Limited,Health Care,"58,869,600",0.003,,,
IPH,IPH Limited,Industrials,"1,347,840,000",0.062,,,
IPL,Incitec Pivot,Materials,"5,266,970,000",0.244,,,
IPT,Impact Minerals,Materials,"7,930,080",0.000,,,
IQ3,IQ3CORP Limited,Financials,"30,138,200",0.001,,,
IRC,Intermin Resources,Materials,"24,715,800",0.001,,,
IRD,Iron Road Limited,Materials,"41,621,000",0.002,,,
IRE,Iress Limited,Information Technology,"2,378,370,000",0.110,,,
IRI,Integrated Research,Information Technology,"515,582,000",0.024,,,
IRL,India Resources,Materials,"2,001,180",0.000,,,
IS3,I Synergy Group Limited,Consumer Discretionary,"27,839,000",0.001,,,
ISD,Isentia Group Limited,Information Technology,"58,000,000",0.003,,,
ISEC,Ishares Enhancd Cash,,"81,946,100",0.004,,,
ISO,ETF Units FP,,"105,006,000",0.005,,,
ISU,Iselect Limited,Consumer Discretionary,"136,671,000",0.006,,,
ISX,Isignthis Limited,Information Technology,"671,164,000",0.031,,,
ITW,Ishares MSCI TW ETF,,"4,653,530",0.000,,,
IVC,Invocare Limited,Consumer Discretionary,"1,825,850,000",0.085,,,
IVE,Ishs MSCI Eafe ETF,,"343,921,000",0.016,,,
IVO,Invigor Group Limited,Consumer Discretionary,"13,305,900",0.001,,,
IVQ,Invitrocue Limited,Health Care,"34,146,200",0.002,,,
IVR,Investigator Res Limited,Materials,"8,139,690",0.000,,,
IVT,Inventis Limited,Industrials,"3,513,250",0.000,,,
IVV,Ishares S&P 500 ETF,,"2,966,320,000",0.137,,,
IVX,Invion Limited,Health Care,"82,509,100",0.004,,,
IVZ,Invictus Energy Limited,Energy,"17,204,100",0.001,,,
IWLD,Ishares Core WLD,,"69,968,300",0.003,,,
IXI,Ishs Global Cons ETF,,"176,086,000",0.008,,,
IXJ,Ishs Glob Health ETF,,"526,156,000",0.024,,,
IXU,Ixup Limited,Information Technology,"8,675,500",0.000,,,
IZZ,Ishs China ETF,,"100,840,000",0.005,,,
JAL,Jameson Resources,Materials,"56,709,900",0.003,,,
JAN,Janison Edu Group,Information Technology,"57,359,800",0.003,,,
JAT,Jatenergy Limited,Consumer Discretionary,"43,916,700",0.002,,,
JAY,Jayride Group,Consumer Discretionary,"17,089,600",0.001,,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"3,230,520,000",0.150,,,
JCI,Jiancheng,Industrials,"26,014,600",0.001,,,
JCS,Jcurve Solutions,Information Technology,"11,802,800",0.001,,,
JDR,Jadar Lithium Limited,Materials,"3,873,960",0.000,,,
JHC,Japara Healthcare LT,Health Care,"368,801,000",0.017,,,
JHG,Janus Henderson,Financials,"1,674,960,000",0.078,,,
JHL,JAYEX Healthcare Limited,Health Care,"9,889,170",0.000,,,
JHX,James Hardie Indust,Materials,"8,111,230,000",0.375,,,
JIN,Jumbo Interactive,Consumer Discretionary,"1,118,230,000",0.052,,,
JIP,Jack-in Group Limited,Industrials,"20,113,300",0.001,,,
JJF,Jiajiafu Mod Agr Limited,Consumer Staples,"4,174,020",0.000,,,
JKA,Jacka Resources Limited,Energy,"2,304,330",0.000,,,
JLG,Johns LYNG Group,Industrials,"322,027,000",0.015,,,
JMS,Jupiter Mines,Materials,"705,237,000",0.033,,,
JPR,Jupiter Energy,Energy,"3,681,060",0.000,,,
JRL,Jindalee Resources,Materials,"11,548,300",0.001,,,
JRV,Jervois Mining,Materials,"54,699,400",0.003,,,
JVG,JV Global Limited,Industrials,"2,511,440",0.000,,,
JXT,Jaxstaltd,Information Technology,"34,279,900",0.002,,,
JYC,Joyce Corporation,Consumer Discretionary,"42,511,700",0.002,,,
K2F,K2FLY Limited,Information Technology,"8,665,730",0.000,,,
KAI,Kairos Minerals Limited,Materials,"12,784,100",0.001,,,
KAM,K2 Asset MGMT Holdings,Financials,"14,706,200",0.001,,,
KAR,Karoon Energy Limited,Energy,"220,364,000",0.010,,,
KAS,Kasbah Resources,Materials,"8,527,260",0.000,,,
KAT,Katana Capital,,"30,610,900",0.001,,,
KBC,Keybridge Capital,Financials,"7,400,820",0.000,,,
KCN,Kingsgate Consolid,Materials,"57,687,600",0.003,,,
KDR,Kidman Resources Limited,Materials,"761,019,000",0.035,,,
KEY,KEY Petroleum,Energy,"6,197,850",0.000,,,
KFE,Kogi Iron Limited,Materials,"50,209,000",0.002,,,
KGD,Kula Gold Limited,Materials,"9,767,110",0.000,,,
KGL,KGL Resources Limited,Materials,"78,640,400",0.004,,,
KGM,Kalnorth Gold Limited,Materials,"3,576,960",0.000,,,
KGN,Kogan.com Limited,Consumer Discretionary,"524,887,000",0.024,,,
KII,K2GLOBALEQUITIESFUND,,"6,357,430",0.000,,,
KIN,KIN Min NL,Materials,"27,365,000",0.001,,,
KIS,King Island,Materials,"19,907,600",0.001,,,
KKL,Kollakorn Corp Limited,Information Technology,"2,097,180",0.000,,,
KKO,Kinetiko Energy Limited,Energy,"7,833,310",0.000,,,
KKT,Konekt Limited,Health Care,"19,041,600",0.001,,,
KLA,Kirkland Lake Gold Cdi 1:1,Materials,"47,470,000",0.002,,,
KLH,Kalia Limited,Energy,"2,034,350",0.000,,,
KLL,Kalium Lakes Limited,Materials,"146,964,000",0.007,,,
KLO,Kingsland Global Limited,Real Estate,"36,855,000",0.002,,,
KLR,Kaili Resources Limited 125c,Energy,"5,306,410",0.000,,,
KMD,Kathmandu Hold Limited,Consumer Discretionary,"481,782,000",0.022,,,
KME,Kip Mcgrath Edu.CNTR,Consumer Discretionary,"47,286,000",0.002,,,
KMT,Kopore Metals Limited,Materials,"6,347,760",0.000,,,
KNH,Koon Holdings,Industrials,"186,532",0.000,,,
KNL,Kibaran Resources,Materials,"38,018,800",0.002,,,
KNM,Kneomedia Limited,Information Technology,"37,102,000",0.002,,,
KNO,Knosys Limited,Information Technology,"15,039,700",0.001,,,
KOR,Korab Resources,Materials,"9,024,770",0.000,,,
KOV,Korvest Limited,Industrials,"30,248,700",0.001,,,
KP2,Kore Potash Plc,Materials,"9,385,870",0.000,,,
KPC,Kazakhstan Corp Limited,Materials,"32,384,200",0.001,,,
KPE,Kina Petroleum Corp,Energy,"22,965,200",0.001,,,
KPG,Kelly Partners Group,Industrials,"32,758,000",0.002,,,
KPO,Kalina Power Limited,Utilities,"15,953,100",0.001,,,
KPT,Kangaroo Plantation,Materials,"120,566,000",0.006,,,
KRM,Kingsrose Mining Limited,Materials,"29,200,300",0.001,,,
KRR,King River Resources,Materials,"39,636,400",0.002,,,
KRS,Kresta Holdings,Consumer Discretionary,"7,212,410",0.000,,,
KRX,Koppar Resources,Materials,"4,132,800",0.000,,,
KSC,K & S Corporation,Industrials,"213,829,000",0.010,,,
KSL,Kina Securities Limited,Financials,"209,911,000",0.010,,,
KSM,K2 Au Small Cap Fund,,"23,625,900",0.001,,,
KSN,Kingston Resources,Materials,"22,631,400",0.001,,,
KSS,Kleos,Industrials,"15,636,000",0.001,,,
KTA,Krakatoa Resources,Materials,"2,937,500",0.000,,,
KTD,Keytone Dairy,Consumer Staples,"43,875,000",0.002,,,
KTE,K2 Energy Limited,Information Technology,"1,803,940",0.000,,,
KWR,Kingwest Resources,Materials,"5,123,120",0.000,,,
KYK,KYCKR Limited,Information Technology,"6,491,490",0.000,,,
KZA,KAZIA Therapeutics,Health Care,"26,110,000",0.001,,,
KZR,Kalamazoo Resources,Materials,"11,633,500",0.001,,,
LAA,Latam Autos Limited,Information Technology,"33,050,000",0.002,,,
LAM,Laramide Res Limited,Energy,"311,601",0.000,,,
LAU,Lindsay Australia,Industrials,"102,415,000",0.005,,,
LAW,Lawfinance Limited,Financials,"31,436,300",0.001,,,
LBL,Laserbond Limited,Industrials,"37,815,800",0.002,,,
LBT,LBT Innovations,Health Care,"33,153,000",0.002,,,
LCD,Latitude Consolidate,Materials,"3,852,510",0.000,,,
LCE,London City EQU. Limited,Financials,"10,204,200",0.000,,,
LCK,Leigh CRK Energy Limited,Energy,"150,739,000",0.007,,,
LCM,Logicamms Limited,Industrials,"15,230,300",0.001,,,
LCT,Living Cell Tech,Health Care,"17,143,200",0.001,,,
LCY,Legacy Iron Ore,Materials,"2,936,530",0.000,,,
LEG,Legend Mining,Materials,"55,197,500",0.003,,,
LEP,Ale Property Groupinary/Units Stapled Securities,Real Estate,"941,649,000",0.044,,,
LER,Leaf Res Limited,Materials,"10,682,200",0.000,,,
LEX,Lefroy Exploration 50c US,Materials,"14,255,500",0.001,,,
LGD,Legend Corporation,Industrials,"82,355,000",0.004,,,
LGO,Longreach Oil Limited,Energy,"9,714,670",0.000,,,
LGR,Lanka Graphite Limited,Materials,"2,276,850",0.000,,,
LHB,Lionhub Group Limited,Real Estate,"4,958,100",0.000,,,
LHM,Land Homes Group Limited,Real Estate,"14,691,400",0.001,,,
LI3,Lithium Consolidated,Materials,"6,993,300",0.000,,,
LIC,Lifestyle Communit,Real Estate,"637,725,000",0.030,,,
LIN,Lindian Resources,Materials,"3,778,120",0.000,,,
LIO,Lion Energy Limited,Energy,"7,259,060",0.000,,,
LIT,Lithium Australia NL,Materials,"39,767,900",0.002,,,
LKE,Lake Resources,Materials,"31,367,000",0.001,,,
LKO,Lakes Oil NL,Energy,"33,226,600",0.002,,,
LLC,Lendlease Groupinary/Units Stapled Securities,Real Estate,"8,038,870,000",0.372,,,
LLO,Lion One Metals Limited,Materials,"6,421,570",0.000,,,
LMG,Latrobe Magnesium,Materials,"9,075,520",0.000,,,
LML,Lincoln Minerals,Materials,"3,449,900",0.000,,,
LMW,Landmark White Limited,Real Estate,"21,283,500",0.001,,,
LNG,Liquefied Natural,Energy,"174,403,000",0.008,,,
LNK,Link Admin HLDG,Information Technology,"3,187,690,000",0.148,,,
LNU,Linius Tech Limited,Information Technology,"38,447,500",0.002,,,
LNY,Laneway Res Limited,Materials,"40,480,700",0.002,,,
LOM,Lucapa Diamond Limited,Materials,"76,864,400",0.004,,,
LON,Longtable Group Limited,Consumer Staples,"43,502,000",0.002,,,
LOV,Lovisa Holdings Limited,Consumer Discretionary,"1,203,450,000",0.056,,,
LPD,Lepidico Limited,Materials,"100,685,000",0.005,,,
LPE,Locality Planning,Utilities,"32,637,000",0.002,,,
LPI,Lithium PWR Int Limited,Materials,"68,253,600",0.003,,,
LRM,Lustrum Minerals,Energy,"1,352,390",0.000,,,
LRS,Latin Resources Limited,Materials,"3,507,430",0.000,,,
LRT,Lowell Res Fund Ordinary Units FP,,"12,233,700",0.001,,,
LSA,Lachlan Star Limited,Materials,"6,030,920",0.000,,,
LSF,L1 Long Short Fund,,"950,720,000",0.044,,,
LSH,Lifespot Health Limited,Health Care,"5,662,510",0.000,,,
LSR,Lodestar Minerals,Materials,"5,993,750",0.000,,,
LSX,Lion Selection Group,,"52,547,200",0.002,,,
LTN,Lantern Hotel Group,Real Estate,"3,532,810",0.000,,,
LTR,Liontown Resources,Materials,"160,480,000",0.007,,,
LVE,Love Group Global,Information Technology,"4,643,030",0.000,,,
LVH,Livehire Limited,Information Technology,"114,238,000",0.005,,,
LVT,Livetiles Limited,Information Technology,"290,788,000",0.013,,,
LYC,Lynas Corporation,Materials,"2,030,330,000",0.094,,,
LYL,Lycopodium Limited,Industrials,"188,729,000",0.009,,,
M7T,MACH7 Tech Limited,Health Care,"51,937,500",0.002,,,
MA1,Monash Absolute,,"36,116,400",0.002,,,
MAG,Magmatic Resrce Limited,Materials,"1,175,170",0.000,,,
MAH,Macmahon Holdings,Materials,"387,897,000",0.018,,,
MAI,Mainstream Group,Financials,"72,227,700",0.003,,,
MAM,Microequities,Financials,"48,558,500",0.002,,,
MAQ,Macquarie Telecom GP,Telecommunication Services,"420,743,000",0.019,,,
MAR,Malachite Resources,Materials,"1,387,820",0.000,,,
MAS,Mesa Minerals Limited,Materials,"4,226,500",0.000,,,
MAT,Matsa Resources,Materials,"23,883,800",0.001,,,
MAU,Magnetic Resources,Materials,"76,770,200",0.004,,,
MAX,Millinium Alt Fund Ordinary Units FP,,"7,436,560",0.000,,,
MAY,Melbana Energy Limited,Energy,"22,506,100",0.001,,,
MBK,Metal Bank Limited,Materials,"6,180,050",0.000,,,
MBM,Mobecom Limited,Information Technology,"11,098,900",0.001,,,
