ASX Listed Companies (1 June 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
AQZ,Alliance Aviation,Industrials,"331,365,000",0.015,,,
AR9,Archtis Limited,Information Technology,"9,761,480",0.000,,,
ARA,Ariadne Australia,Industrials,"126,011,000",0.006,,,
ARB,ARB Corporation,Consumer Discretionary,"1,485,280,000",0.069,,,
ARC,Aust Rural Cap Limited,Financials,"5,316,220",0.000,,,
ARD,Argent Minerals,Materials,"8,632,980",0.000,,,
ARE,Argonaut Resources,Materials,"7,771,900",0.000,,,
ARF,Arena REITinary/Units Stapled Securities,Real Estate,"801,145,000",0.037,,,
ARG,Argo Investments,,"5,661,550,000",0.262,,,
ARL,Ardea Resources Limited,Materials,"44,581,100",0.002,,,
ARM,Aurora Minerals Limited,Materials,"1,288,470",0.000,,,
ARN,Aldoro Resources,Materials,"3,441,750",0.000,,,
ARO,Astro Resources NL,Materials,"2,544,200",0.000,,,
ARQ,ARQ Group Limited,Information Technology,"202,280,000",0.009,,,
ARS,Alt Resources Limited,Materials,"6,469,900",0.000,,,
ARU,Arafura Resource Limited,Materials,"71,107,700",0.003,,,
ARV,Artemis Resources,Materials,"23,831,700",0.001,,,
ARX,Arc Exploration Limited,Materials,"4,797,640",0.000,,,
AS1,Angel Seafood,Consumer Staples,"16,719,100",0.001,,,
ASB,Austal Limited,Industrials,"1,033,680,000",0.048,,,
ASG,Autosports Group Limited,Consumer Discretionary,"237,180,000",0.011,,,
ASH,Ashley Services Group,Industrials,"39,593,400",0.002,,,
ASIA,Beta Asiatech Tigers,,"47,730,000",0.002,,,
ASL,Ausdrill Limited,Materials,"1,004,520,000",0.046,,,
ASN,Anson Resources Limited,Materials,"24,706,400",0.001,,,
ASP,Aspermont Limited,Consumer Discretionary,"25,373,100",0.001,,,
AST,Ausnet Services Limited,Utilities,"6,501,740,000",0.301,,,
ASW,Advanced Share Limited,Financials,"26,502,800",0.001,,,
ASX,ASX Limited,Financials,"14,664,800,000",0.679,,,
ATA,Atc Alloys Limited,Materials,"3,522,290",0.000,,,
ATC,Altech Chem Limited,Materials,"77,405,600",0.004,,,
ATH,Alterity Therap Limited,Health Care,"29,268,500",0.001,,,
ATL,Apollo Tourism,Consumer Discretionary,"72,598,900",0.003,,,
ATM,Aneka Tambang,Materials,"1,316,680",0.000,,,
ATP,Atlas Pearls Limited,Consumer Discretionary,"6,418,080",0.000,,,
ATR,Astron Corp Limited,Materials,"22,658,300",0.001,,,
ATS,Australis Oil & Gas,Energy,"256,143,000",0.012,,,
ATU,Atrum Coal Limited,Materials,"171,133,000",0.008,,,
ATX,Amplia Therapeutics,Health Care,"4,717,680",0.000,,,
AU1,The Agency Group Aus,Real Estate,"10,069,600",0.000,,,
AU8,Aumake Int Limited,Consumer Discretionary,"34,076,700",0.002,,,
AUB,AUB Group Limited,Financials,"859,983,000",0.040,,,
AUC,Ausgold Limited,Materials,"11,954,400",0.001,,,
AUDS,Beta Strong AUD,,"3,522,000",0.000,,,
AUH,Austchina Holdings,Energy,"3,346,160",0.000,,,
AUI,Australian United in,,"1,118,950,000",0.052,,,
AUL,Austar Gold Limited,Materials,"13,561,200",0.001,,,
AUMF,Ishares Edge Au MF,,"14,131,000",0.001,,,
AUP,Aurora Property Ordinary Units FP,,"3,462,080",0.000,,,
AUQ,Alara Resources Limited,Materials,"16,983,500",0.001,,,
AUR,Auris Minerals Limited,Materials,"8,173,630",0.000,,,
AUST,Beta Managed Risk Au,,"40,557,200",0.002,,,
AUT,Auteco Minerals,Materials,"5,012,320",0.000,,,
AUZ,Australian Mines Limited,Materials,"101,876,000",0.005,,,
AV1,Adveritas Limited,,"21,451,400",0.001,,,
AVA,AVA Risk Group Limited,Information Technology,"34,751,600",0.002,,,
AVC,Auctus Alt INV Limited,Financials,"9,568,170",0.000,,,
AVE,Avecho Biotech Limited,Health Care,"4,732,370",0.000,,,
AVG,Aust Vintage Limited,Consumer Staples,"137,547,000",0.006,,,
AVH,Avita Medical Limited,Health Care,"802,616,000",0.037,,,
AVJ,Avjennings Limited,Real Estate,"237,645,000",0.011,,,
AVL,Aust Vanadium Limited,Materials,"35,529,200",0.002,,,
AVN,Aventus Groupinary/Units Stapled Securities,Real Estate,"1,237,720,000",0.057,,,
AVQ,Axiom Mining Limited,Materials,"13,261,200",0.001,,,
AVW,Avira Resources Limited,Materials,"2,000,000",0.000,,,
AVZ,AVZ Minerals Limited,Materials,"191,789,000",0.009,,,
AWC,Alumina Limited,Materials,"6,882,830,000",0.319,,,
AWN,Arowana Internat Limited,Industrials,"31,634,200",0.001,,,
