"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2016","8,936.46","8,733.40","8,960.00","8,732.90","54.75M","2.32%"
"Oct 10, 2016","8,733.41","8,804.60","8,810.90","8,699.10","30.13M","-0.81%"
"Oct 07, 2016","8,804.65","8,741.40","8,832.30","8,741.40","42.32M","0.72%"
"Oct 06, 2016","8,741.44","8,572.60","8,749.00","8,569.00","53.41M","1.97%"
"Oct 05, 2016","8,572.56","8,602.40","8,604.00","8,521.90","52.75M","-0.35%"
"Oct 04, 2016","8,602.38","8,525.10","8,602.40","8,499.60","37.43M","0.91%"
"Oct 03, 2016","8,525.11","8,413.60","8,559.70","8,413.60","27.17M","1.33%"
"Sep 30, 2016","8,413.56","8,388.70","8,444.20","8,322.50","67.41M","0.30%"
"Sep 29, 2016","8,388.70","7,889.90","8,429.80","7,889.90","81.36M","6.32%"
"Sep 28, 2016","7,889.89","7,989.20","7,993.10","7,885.80","35.00M","-1.24%"
"Sep 27, 2016","7,989.24","8,049.70","8,050.70","7,939.30","34.73M","-0.75%"
"Sep 26, 2016","8,049.68","8,055.70","8,077.10","7,966.20","27.79M","-0.07%"
"Sep 23, 2016","8,055.71","8,017.60","8,080.10","7,990.90","42.41M","0.48%"
"Sep 22, 2016","8,017.58","7,853.00","8,043.70","7,845.60","38.08M","2.10%"
"Sep 21, 2016","7,852.97","7,783.70","7,902.60","7,783.70","38.70M","0.89%"
"Sep 20, 2016","7,783.70","7,856.90","7,863.40","7,757.40","40.71M","-0.93%"
"Sep 19, 2016","7,856.90","7,896.80","7,896.80","7,831.30","12.03M","-0.51%"
"Sep 16, 2016","7,896.83","7,800.50","7,975.60","7,788.30","64.33M","1.24%"
"Sep 15, 2016","7,800.46","7,896.00","7,896.00","7,723.40","47.09M","-1.21%"
"Sep 14, 2016","7,895.99","8,011.60","8,015.70","7,872.80","55.26M","-1.44%"
"Sep 13, 2016","8,011.56","8,067.20","8,110.90","7,990.80","39.49M","-0.69%"
"Sep 12, 2016","8,067.23","8,317.10","8,317.10","8,000.70","45.77M","-3.00%"
"Sep 09, 2016","8,317.08","8,181.00","8,341.80","8,172.70","49.95M","1.66%"
"Sep 08, 2016","8,180.96","8,295.10","8,295.10","8,127.60","48.84M","-1.38%"
"Sep 07, 2016","8,295.12","8,401.10","8,402.20","8,277.50","44.08M","-1.26%"
"Sep 06, 2016","8,401.15","8,389.60","8,436.50","8,383.50","29.53M","0.14%"
"Sep 05, 2016","8,389.55","8,301.00","8,409.70","8,301.00","24.28M","1.07%"
"Sep 02, 2016","8,301.03","8,285.70","8,301.03","8,166.30","38.10M","0.18%"
"Sep 01, 2016","8,285.74","8,424.30","8,424.30","8,263.80","30.76M","-1.64%"
"Aug 31, 2016","8,424.27","8,513.70","8,523.20","8,326.00","38.48M","-1.05%"
"Aug 30, 2016","8,513.67","8,464.50","8,576.00","8,464.50","29.78M","0.58%"
"Aug 29, 2016","8,464.49","8,601.60","8,615.80","8,423.90","34.34M","-1.59%"
"Aug 26, 2016","8,601.59","8,679.30","8,680.30","8,585.20","36.92M","-0.90%"
"Aug 25, 2016","8,679.29","8,723.90","8,733.90","8,639.80","36.69M","-0.51%"
