date,index,value
2009-07-23,industrials,3164.0
2009-07-23,infotech,529.6
2009-07-23,materials,10813.7
2009-07-23,telecom,1186.4
2009-07-23,utilities,4066.9
2009-07-23,realestate,1770.8
2009-07-23,aud_usd,0.8126
2009-07-23,twi,64.8
2009-07-24,world,29.9818
2009-07-24,pacific,22.4633
2009-07-24,asx200,4089.8
2009-07-24,axvi,23.826999999999998
2009-07-24,discretionary,1391.3
2009-07-24,staples,6944.2
2009-07-24,energy,15155.8
2009-07-24,financials,4333.9
2009-07-24,healthcare,7666.7
2009-07-24,industrials,3150.1
2009-07-24,infotech,521.2
2009-07-24,materials,10927.4
2009-07-24,telecom,1203.4
2009-07-24,utilities,4046.0
2009-07-24,realestate,1771.4
2009-07-24,aud_usd,0.8172
2009-07-24,twi,64.7
2009-07-27,world,30.0624
2009-07-27,pacific,22.7853
2009-07-27,asx200,4139.6001
2009-07-27,axvi,25.113000000000003
2009-07-27,discretionary,1401.3
2009-07-27,staples,7028.6
2009-07-27,energy,15270.8
2009-07-27,financials,4390.5
2009-07-27,healthcare,7669.1
2009-07-27,industrials,3206.4
2009-07-27,infotech,524.0
2009-07-27,materials,11070.7
2009-07-27,telecom,1239.3
2009-07-27,utilities,4085.8
2009-07-27,realestate,1776.9
2009-07-27,aud_usd,0.823
2009-07-27,twi,65.1
2009-07-28,world,29.8851
2009-07-28,pacific,22.9561
2009-07-28,asx200,4169.5
2009-07-28,axvi,24.834
2009-07-28,discretionary,1420.0
2009-07-28,staples,7113.9
2009-07-28,energy,15323.0
2009-07-28,financials,4444.0
2009-07-28,healthcare,7713.9
2009-07-28,industrials,3241.5
2009-07-28,infotech,532.7
2009-07-28,materials,11117.7
2009-07-28,telecom,1236.1
2009-07-28,utilities,4085.9
2009-07-28,realestate,1766.6
2009-07-28,aud_usd,0.8264
2009-07-28,twi,65.7
2009-07-29,world,29.6595
2009-07-29,pacific,22.4896
2009-07-29,asx200,4142.7998
2009-07-29,axvi,25.508000000000003
2009-07-29,discretionary,1418.7
2009-07-29,staples,7138.5
2009-07-29,energy,15148.9
2009-07-29,financials,4439.2
2009-07-29,healthcare,7786.3
2009-07-29,industrials,3211.6
2009-07-29,infotech,531.1
2009-07-29,materials,10903.4
2009-07-29,telecom,1222.7
2009-07-29,utilities,4123.4
2009-07-29,realestate,1773.6
2009-07-29,aud_usd,0.8168
2009-07-29,twi,65.3
2009-07-30,world,30.2477
2009-07-30,pacific,23.1729
2009-07-30,asx200,4190.5
2009-07-30,axvi,25.066
2009-07-30,discretionary,1422.5
2009-07-30,staples,7165.4
2009-07-30,energy,15080.5
2009-07-30,financials,4561.0
2009-07-30,healthcare,7879.1
2009-07-30,industrials,3254.2
2009-07-30,infotech,544.2
2009-07-30,materials,10891.8
2009-07-30,telecom,1250.4
2009-07-30,utilities,4175.5
2009-07-30,realestate,1791.4
2009-07-30,aud_usd,0.8253
2009-07-30,twi,65.2
2009-07-31,world,30.4088
2009-07-31,pacific,23.4488
2009-07-31,asx200,4244.0
2009-07-31,axvi,24.558000000000003
2009-07-31,discretionary,1432.5
2009-07-31,staples,7105.7
2009-07-31,energy,15338.6
2009-07-31,financials,4661.5
2009-07-31,healthcare,7875.8
2009-07-31,industrials,3297.0
2009-07-31,infotech,570.8
2009-07-31,materials,11098.8
2009-07-31,telecom,1220.3
2009-07-31,utilities,4216.2
2009-07-31,realestate,1795.2
2009-07-31,aud_usd,0.8359
2009-07-31,twi,65.7
2009-08-01,prime,7.01
2009-08-03,world,31.134
2009-08-03,pacific,24.0204
2009-08-03,asx200,4263.3999
2009-08-03,axvi,25.98
2009-08-03,discretionary,1428.8
2009-08-03,staples,7017.4
2009-08-03,energy,15310.2
2009-08-03,financials,4738.0
2009-08-03,healthcare,7831.7
2009-08-03,industrials,3283.1
2009-08-03,infotech,564.9
2009-08-03,materials,11138.7
2009-08-03,telecom,1216.7
2009-08-03,utilities,4155.8
2009-08-03,realestate,1815.4
2009-08-03,aud_usd,0.8416
2009-08-04,world,31.0615
2009-08-04,pacific,23.9679
2009-08-04,asx200,4309.2998
2009-08-04,axvi,26.857
2009-08-04,discretionary,1434.3
2009-08-04,staples,6950.6
2009-08-04,energy,15310.9
2009-08-04,financials,4828.5
2009-08-04,healthcare,7781.1
2009-08-04,industrials,3297.1
2009-08-04,infotech,580.9
2009-08-04,materials,11358.0
2009-08-04,telecom,1220.0
2009-08-04,utilities,4025.4
2009-08-04,realestate,1832.0
2009-08-04,aud_usd,0.8437
2009-08-04,twi,66.4
2009-08-05,world,30.9729
2009-08-05,pacific,23.5802
2009-08-05,asx200,4264.5
2009-08-05,axvi,27.124000000000002
2009-08-05,discretionary,1420.1
2009-08-05,staples,6982.0
2009-08-05,energy,15047.9
2009-08-05,financials,4770.7
2009-08-05,healthcare,7956.4
2009-08-05,industrials,3254.2
2009-08-05,infotech,569.4
2009-08-05,materials,11124.0
2009-08-05,telecom,1228.5
2009-08-05,utilities,4000.9
2009-08-05,realestate,1833.6
2009-08-05,aud_usd,0.8407
2009-08-05,twi,66.3
2009-08-06,world,30.7634
2009-08-06,pacific,23.6394
2009-08-06,asx200,4326.2998
2009-08-06,axvi,27.115
2009-08-06,discretionary,1439.3
2009-08-06,staples,6970.3
2009-08-06,energy,15073.6
2009-08-06,financials,4877.8
2009-08-06,healthcare,8056.4
2009-08-06,industrials,3295.0
2009-08-06,infotech,580.2
2009-08-06,materials,11286.7
2009-08-06,telecom,1230.6
2009-08-06,utilities,4041.1
2009-08-06,realestate,1880.3
2009-08-06,aud_usd,0.8396
2009-08-06,twi,66.5
2009-08-07,world,30.997
2009-08-07,pacific,23.7642
2009-08-07,asx200,4299.3999
2009-08-07,axvi,27.738000000000003
2009-08-07,discretionary,1430.7
2009-08-07,staples,6939.8
2009-08-07,energy,14982.9
2009-08-07,financials,4865.4
2009-08-07,healthcare,8075.3
2009-08-07,industrials,3304.0
2009-08-07,infotech,582.6
2009-08-07,materials,11120.2
2009-08-07,telecom,1214.5
2009-08-07,utilities,4041.6
2009-08-07,realestate,1872.7
2009-08-07,aud_usd,0.837
2009-08-07,twi,66.2
2009-08-10,world,30.7634
2009-08-10,pacific,23.5145
2009-08-10,asx200,4304.1001
2009-08-10,axvi,27.721999999999998
2009-08-10,discretionary,1441.4
2009-08-10,staples,7062.7
2009-08-10,energy,14931.1
2009-08-10,financials,4840.3
2009-08-10,healthcare,8140.0
2009-08-10,industrials,3322.3
2009-08-10,infotech,595.0
2009-08-10,materials,11048.6
2009-08-10,telecom,1231.1
2009-08-10,utilities,4011.7
2009-08-10,realestate,1918.6
2009-08-10,aud_usd,0.8375
2009-08-10,twi,66.6
2009-08-11,world,30.4894
2009-08-11,pacific,23.3569
2009-08-11,asx200,4332.0
2009-08-11,axvi,26.44
2009-08-11,discretionary,1463.7
2009-08-11,staples,7054.1
2009-08-11,energy,15037.2
2009-08-11,financials,4899.9
2009-08-11,healthcare,8131.0
2009-08-11,industrials,3369.0
2009-08-11,infotech,582.6
2009-08-11,materials,11048.6
2009-08-11,telecom,1238.5
2009-08-11,utilities,4020.5
2009-08-11,realestate,1933.2
2009-08-11,aud_usd,0.8287
2009-08-11,twi,66.4
2009-08-12,world,30.8359
2009-08-12,pacific,23.8299
2009-08-12,asx200,4343.1001
2009-08-12,axvi,26.449
2009-08-12,discretionary,1454.7
2009-08-12,staples,7072.5
2009-08-12,energy,14955.2
2009-08-12,financials,4928.8
2009-08-12,healthcare,8209.5
2009-08-12,industrials,3379.0
2009-08-12,infotech,583.8
2009-08-12,materials,11073.7
2009-08-12,telecom,1242.5
2009-08-12,utilities,3990.2
2009-08-12,realestate,1932.8
2009-08-12,aud_usd,0.8334
2009-08-12,twi,65.4
2009-08-13,world,31.1985
2009-08-13,pacific,24.3227
2009-08-13,asx200,4435.8999
2009-08-13,axvi,25.516
2009-08-13,discretionary,1473.9
2009-08-13,staples,7135.2
2009-08-13,energy,15367.2
2009-08-13,financials,5116.7
2009-08-13,healthcare,8334.6
2009-08-13,industrials,3453.9
2009-08-13,infotech,601.1
2009-08-13,materials,11249.5
2009-08-13,telecom,1228.6
2009-08-13,utilities,4085.3
2009-08-13,realestate,1927.9
2009-08-13,aud_usd,0.8415
2009-08-13,twi,66.4
2009-08-14,world,30.9165
2009-08-14,pacific,23.8759
2009-08-14,asx200,4461.0
2009-08-14,axvi,25.647
2009-08-14,discretionary,1469.3
2009-08-14,staples,7102.5
2009-08-14,energy,15412.3
2009-08-14,financials,5167.8
2009-08-14,healthcare,8491.3
2009-08-14,industrials,3504.6
2009-08-14,infotech,593.8
2009-08-14,materials,11291.4
2009-08-14,telecom,1237.4
2009-08-14,utilities,4082.4
2009-08-14,realestate,1928.8
2009-08-14,aud_usd,0.8326
2009-08-14,twi,66.7
2009-08-17,world,29.9334
2009-08-17,pacific,23.2189
2009-08-17,asx200,4388.3999
2009-08-17,axvi,27.487
2009-08-17,discretionary,1439.5
2009-08-17,staples,7145.4
2009-08-17,energy,15316.8
2009-08-17,financials,5040.9
2009-08-17,healthcare,8531.1
2009-08-17,industrials,3477.3
2009-08-17,infotech,582.2
2009-08-17,materials,10969.4
2009-08-17,telecom,1242.6
2009-08-17,utilities,4087.3
2009-08-17,realestate,1923.6
2009-08-17,aud_usd,0.8207
2009-08-17,twi,65.2
2009-08-18,world,30.2799
2009-08-18,pacific,23.6854
2009-08-18,asx200,4381.6001
2009-08-18,axvi,27.483
2009-08-18,discretionary,1431.3
2009-08-18,staples,7164.6
2009-08-18,energy,15065.8
2009-08-18,financials,5020.5
2009-08-18,healthcare,8596.6
2009-08-18,industrials,3502.8
2009-08-18,infotech,585.7
2009-08-18,materials,10968.0
2009-08-18,telecom,1252.5
2009-08-18,utilities,4108.9
2009-08-18,realestate,1920.2
2009-08-18,aud_usd,0.8262
2009-08-18,twi,65.5
2009-08-19,world,30.6183
2009-08-19,pacific,23.7445
2009-08-19,asx200,4373.7998
2009-08-19,axvi,26.441999999999997
2009-08-19,discretionary,1440.0
2009-08-19,staples,7178.7
2009-08-19,energy,15293.1
2009-08-19,financials,4978.9
2009-08-19,healthcare,8468.1
2009-08-19,industrials,3557.6
2009-08-19,infotech,581.0
2009-08-19,materials,10914.5
2009-08-19,telecom,1252.5
2009-08-19,utilities,4100.0
2009-08-19,realestate,1930.5
2009-08-19,aud_usd,0.8299
2009-08-19,twi,65.4
2009-08-20,world,30.9165
2009-08-20,pacific,23.8036
2009-08-20,asx200,4377.5
2009-08-20,axvi,25.633000000000003
2009-08-20,discretionary,1447.9
2009-08-20,staples,7135.1
2009-08-20,energy,15583.0
2009-08-20,financials,4977.1
2009-08-20,healthcare,8283.5
2009-08-20,industrials,3575.7
2009-08-20,infotech,585.5
2009-08-20,materials,10993.0
2009-08-20,telecom,1249.7
2009-08-20,utilities,4049.9
2009-08-20,realestate,1887.6
2009-08-20,aud_usd,0.8311
2009-08-20,twi,65.8
2009-08-21,world,31.5369
2009-08-21,pacific,23.8233
2009-08-21,asx200,4290.6001
2009-08-21,axvi,27.114
2009-08-21,discretionary,1410.1
2009-08-21,staples,7069.2
2009-08-21,energy,15482.2
2009-08-21,financials,4853.8
2009-08-21,healthcare,8275.3
2009-08-21,industrials,3493.5
2009-08-21,infotech,583.4
2009-08-21,materials,10816.7
2009-08-21,telecom,1192.7
2009-08-21,utilities,3956.3
2009-08-21,realestate,1837.9
2009-08-21,aud_usd,0.8338
2009-08-21,twi,65.3
2009-08-24,world,31.5369
2009-08-24,pacific,24.2044
2009-08-24,asx200,4426.1001
2009-08-24,axvi,25.594
2009-08-24,discretionary,1459.9
2009-08-24,staples,7247.6
2009-08-24,energy,16048.9
2009-08-24,financials,5015.0
2009-08-24,healthcare,8312.2
2009-08-24,industrials,3605.4
2009-08-24,infotech,590.8
2009-08-24,materials,11241.4
2009-08-24,telecom,1167.4
2009-08-24,utilities,3993.8
2009-08-24,realestate,1931.1
2009-08-24,aud_usd,0.8374
2009-08-24,twi,66.3
2009-08-25,world,31.6739
2009-08-25,pacific,24.1847
2009-08-25,asx200,4405.7998
2009-08-25,axvi,25.107
2009-08-25,discretionary,1456.4
2009-08-25,staples,7167.6
2009-08-25,energy,16003.5
2009-08-25,financials,5006.6
2009-08-25,healthcare,8252.7
2009-08-25,industrials,3608.1
2009-08-25,infotech,587.3
2009-08-25,materials,11135.8
2009-08-25,telecom,1163.2
2009-08-25,utilities,3947.6
2009-08-25,realestate,1939.6
2009-08-25,aud_usd,0.8346
2009-08-25,twi,66.0
2009-08-26,world,31.5691
2009-08-26,pacific,24.027
2009-08-26,asx200,4454.5
2009-08-26,axvi,23.881999999999998
2009-08-26,discretionary,1473.1
2009-08-26,staples,7234.8
2009-08-26,energy,16119.6
2009-08-26,financials,5042.8
2009-08-26,healthcare,8308.3
2009-08-26,industrials,3604.2
2009-08-26,infotech,587.9
2009-08-26,materials,11275.0
2009-08-26,telecom,1178.6
2009-08-26,utilities,4052.3
2009-08-26,realestate,2021.3
2009-08-26,aud_usd,0.8268
2009-08-26,twi,66.1
2009-08-27,world,31.6739
2009-08-27,pacific,24.4212
2009-08-27,asx200,4450.7998
2009-08-27,axvi,24.647
2009-08-27,discretionary,1465.1
2009-08-27,staples,7225.3
2009-08-27,energy,16099.3
2009-08-27,financials,5070.8
2009-08-27,healthcare,8341.8
2009-08-27,industrials,3620.4
2009-08-27,infotech,587.0
2009-08-27,materials,11136.4
2009-08-27,telecom,1170.8
2009-08-27,utilities,4031.5
2009-08-27,realestate,2043.3
2009-08-27,aud_usd,0.8386
2009-08-27,twi,65.5
2009-08-28,world,31.6739
2009-08-28,pacific,24.5066
2009-08-28,asx200,4489.6001
2009-08-28,axvi,24.516
2009-08-28,discretionary,1484.2
2009-08-28,staples,7248.9
2009-08-28,energy,16449.6
2009-08-28,financials,5142.2
2009-08-28,healthcare,8488.2
2009-08-28,industrials,3658.3
2009-08-28,infotech,580.4
2009-08-28,materials,11147.4
2009-08-28,telecom,1173.9
2009-08-28,utilities,4085.7
2009-08-28,realestate,2043.5
2009-08-28,aud_usd,0.8405
2009-08-28,twi,66.3
