"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 03, 2016","9,113.24","9,092.60","9,147.40","9,057.70","181.96M","0.23%"
"Nov 02, 2016","9,092.61","9,153.80","9,172.40","9,049.00","185.19M","-0.67%"
"Nov 01, 2016","9,153.84","9,189.90","9,189.90","9,065.70","117.60M","-0.39%"
"Oct 31, 2016","9,189.94","9,107.70","9,241.30","9,093.30","132.14M","0.90%"
"Oct 28, 2016","9,107.72","8,980.00","9,109.50","8,980.00","156.27M","1.42%"
"Oct 27, 2016","8,980.01","9,171.40","9,207.20","8,980.00","173.98M","-2.09%"
"Oct 26, 2016","9,171.40","9,231.10","9,261.40","9,151.10","167.78M","-0.65%"
"Oct 25, 2016","9,231.08","9,147.80","9,257.30","9,128.70","145.24M","0.91%"
"Oct 24, 2016","9,147.84","9,137.40","9,164.80","9,067.80","109.86M","0.11%"
"Oct 21, 2016","9,137.45","9,118.50","9,185.00","9,108.20","125.61M","0.21%"
"Oct 20, 2016","9,118.53","9,044.00","9,163.50","9,044.00","148.43M","0.82%"
"Oct 19, 2016","9,044.03","8,993.30","9,044.03","8,939.00","145.06M","0.56%"
"Oct 18, 2016","8,993.29","8,944.80","9,002.90","8,929.10","125.84M","0.54%"
"Oct 17, 2016","8,944.77","8,994.50","9,018.90","8,934.80","134.71M","-0.55%"
"Oct 14, 2016","8,994.47","9,035.90","9,035.90","8,938.20","147.91M","-0.46%"
"Oct 13, 2016","9,035.92","9,120.00","9,120.00","9,009.40","152.27M","-0.92%"
"Oct 12, 2016","9,120.04","9,217.50","9,217.50","9,004.30","149.59M","-1.06%"
"Oct 11, 2016","9,217.55","9,131.70","9,240.50","9,131.70","138.52M","0.94%"
"Oct 10, 2016","9,131.68","9,095.40","9,188.10","9,095.40","108.57M","0.40%"
"Oct 07, 2016","9,095.42","9,121.00","9,137.90","9,062.50","141.45M","-0.28%"
"Oct 06, 2016","9,121.00","9,071.40","9,159.00","9,071.40","152.23M","0.55%"
"Oct 05, 2016","9,071.35","9,196.80","9,196.80","9,011.60","189.64M","-1.36%"
"Oct 04, 2016","9,196.81","9,143.20","9,196.81","9,125.90","139.10M","0.59%"
"Oct 03, 2016","9,143.22","9,074.50","9,178.90","9,074.50","76.63M","0.76%"
"Sep 30, 2016","9,074.45","9,143.00","9,143.00","9,029.10","147.83M","-0.75%"
"Sep 29, 2016","9,143.04","8,890.20","9,168.60","8,890.20","150.17M","2.84%"
"Sep 28, 2016","8,890.17","8,909.50","8,926.30","8,855.80","153.19M","-0.22%"
"Sep 27, 2016","8,909.53","8,938.50","8,938.50","8,859.20","162.38M","-0.32%"
"Sep 26, 2016","8,938.47","8,915.10","8,963.80","8,858.00","130.81M","0.26%"
"Sep 23, 2016","8,915.11","8,897.90","8,926.40","8,842.70","169.35M","0.19%"
