"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 23, 2016","6,689.28","6,622.20","6,712.00","6,622.20","88.35M","1.01%"
"Aug 22, 2016","6,622.23","6,642.40","6,651.40","6,613.30","95.82M","-0.30%"
"Aug 19, 2016","6,642.40","6,638.60","6,655.50","6,582.70","114.79M","0.06%"
"Aug 18, 2016","6,638.56","6,699.40","6,719.30","6,622.60","118.10M","-0.91%"
"Aug 17, 2016","6,699.39","6,718.80","6,721.30","6,642.60","101.35M","-0.29%"
"Aug 16, 2016","6,718.77","6,742.00","6,777.20","6,715.20","85.30M","-0.34%"
"Aug 15, 2016","6,741.99","6,709.70","6,757.30","6,676.50","64.31M","0.48%"
"Aug 12, 2016","6,709.74","6,702.40","6,755.40","6,666.70","96.27M","0.11%"
"Aug 11, 2016","6,702.42","6,796.20","6,796.20","6,663.00","78.73M","-1.38%"
"Aug 10, 2016","6,796.16","6,820.40","6,862.40","6,768.20","76.58M","-0.36%"
"Aug 09, 2016","6,820.39","6,723.10","6,823.80","6,715.80","87.10M","1.45%"
"Aug 08, 2016","6,723.06","6,630.20","6,746.00","6,630.20","65.45M","1.40%"
"Aug 05, 2016","6,630.23","6,597.40","6,649.00","6,597.40","66.16M","0.50%"
"Aug 04, 2016","6,597.43","6,587.50","6,632.50","6,584.10","85.52M","0.15%"
"Aug 03, 2016","6,587.55","6,731.00","6,731.00","6,583.20","109.95M","-2.13%"
"Aug 02, 2016","6,731.00","6,768.90","6,775.00","6,720.10","92.88M","-0.56%"
"Aug 01, 2016","6,768.91","6,736.60","6,796.60","6,723.90","58.31M","0.48%"
"Jul 29, 2016","6,736.61","6,722.20","6,738.30","6,690.00","108.36M","0.21%"
"Jul 28, 2016","6,722.22","6,720.90","6,746.90","6,711.20","73.53M","0.02%"
"Jul 27, 2016","6,720.88","6,717.30","6,747.60","6,691.10","70.65M","0.05%"
"Jul 26, 2016","6,717.33","6,677.80","6,717.33","6,648.20","88.79M","0.59%"
"Jul 25, 2016","6,677.82","6,639.20","6,706.90","6,639.20","64.47M","0.58%"
"Jul 22, 2016","6,639.16","6,655.50","6,655.50","6,604.10","55.74M","-0.24%"
"Jul 21, 2016","6,655.46","6,614.80","6,683.90","6,614.80","164.09M","0.61%"
"Jul 20, 2016","6,614.85","6,551.60","6,615.80","6,550.80","80.51M","0.97%"
"Jul 19, 2016","6,551.59","6,568.30","6,578.90","6,504.50","82.09M","-0.25%"
"Jul 18, 2016","6,568.28","6,538.90","6,573.70","6,538.90","46.20M","0.45%"
"Jul 15, 2016","6,538.94","6,492.70","6,590.00","6,492.70","67.25M","0.71%"
"Jul 14, 2016","6,492.71","6,435.40","6,493.90","6,435.40","66.77M","0.89%"
"Jul 13, 2016","6,435.40","6,374.40","6,452.00","6,374.40","83.82M","0.96%"
"Jul 12, 2016","6,374.42","6,336.10","6,431.60","6,336.10","82.57M","0.60%"
