"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2013","5,568.01","5,529.30","5,576.80","5,523.10","186.70M","0.70%"
"Jul 24, 2013","5,529.28","5,500.40","5,533.90","5,494.90","151.78M","0.53%"
"Jul 23, 2013","5,500.40","5,489.80","5,509.50","5,481.30","128.46M","0.19%"
"Jul 22, 2013","5,489.77","5,461.90","5,525.20","5,461.90","108.16M","0.51%"
"Jul 19, 2013","5,461.91","5,491.70","5,512.80","5,455.00","139.24M","-0.54%"
"Jul 18, 2013","5,491.73","5,461.30","5,505.60","5,461.30","139.46M","0.56%"
"Jul 17, 2013","5,461.34","5,498.80","5,500.40","5,461.30","141.31M","-0.68%"
"Jul 16, 2013","5,498.82","5,478.50","5,512.70","5,478.50","114.64M","0.37%"
"Jul 15, 2013","5,478.52","5,450.80","5,485.60","5,446.80","110.95M","0.51%"
"Jul 12, 2013","5,450.80","5,475.00","5,504.40","5,450.80","131.27M","-0.44%"
"Jul 11, 2013","5,474.99","5,412.60","5,477.40","5,412.60","146.39M","1.15%"
"Jul 10, 2013","5,412.59","5,402.20","5,470.80","5,396.80","176.14M","0.19%"
"Jul 09, 2013","5,402.16","5,302.60","5,423.10","5,302.60","158.01M","1.88%"
"Jul 08, 2013","5,302.63","5,332.60","5,351.10","5,281.60","115.99M","-0.56%"
"Jul 05, 2013","5,332.64","5,271.40","5,336.80","5,271.40","134.33M","1.16%"
"Jul 04, 2013","5,271.40","5,232.40","5,295.50","5,232.40","108.43M","0.75%"
"Jul 03, 2013","5,232.35","5,326.40","5,326.40","5,208.90","195.89M","-1.77%"
"Jul 02, 2013","5,326.42","5,210.60","5,326.40","5,210.60","201.97M","2.22%"
"Jul 01, 2013","5,210.57","5,328.50","5,328.50","5,201.70","151.11M","-2.21%"
"Jun 28, 2013","5,328.53","5,328.00","5,375.00","5,328.00","219.49M","0.01%"
"Jun 27, 2013","5,327.97","5,229.30","5,344.60","5,229.30","198.62M","1.89%"
"Jun 26, 2013","5,229.34","5,141.80","5,244.00","5,141.80","184.22M","1.70%"
"Jun 25, 2013","5,141.80","5,145.00","5,188.50","5,122.20","269.21M","-0.06%"
"Jun 24, 2013","5,144.99","5,207.90","5,207.90","5,129.40","223.25M","-1.21%"
"Jun 21, 2013","5,207.91","5,253.70","5,253.70","5,157.10","297.93M","-0.87%"
"Jun 20, 2013","5,253.71","5,391.70","5,391.70","5,230.80","273.96M","-2.56%"
"Jun 19, 2013","5,391.66","5,363.90","5,393.00","5,345.30","174.87M","0.52%"
"Jun 18, 2013","5,363.93","5,361.90","5,368.20","5,295.50","221.84M","0.04%"
"Jun 17, 2013","5,361.93","5,265.60","5,361.93","5,227.90","188.84M","1.55%"
"Jun 14, 2013","5,280.20","5,164.70","5,287.20","5,164.70","182.74M","2.24%"
"Jun 13, 2013","5,164.70","5,130.80","5,185.50","5,096.30","240.76M","0.66%"
"Jun 12, 2013","5,130.76","5,174.20","5,174.20","5,100.20","227.89M","-0.84%"
"Jun 11, 2013","5,174.24","5,149.90","5,177.50","5,128.80","214.97M","0.47%"
"Jun 07, 2013","5,149.86","5,194.50","5,201.00","5,149.90","175.54M","-0.86%"
"Jun 06, 2013","5,194.55","5,244.40","5,244.60","5,169.20","222.12M","-0.95%"
"Jun 05, 2013","5,244.44","5,348.30","5,348.30","5,237.70","222.83M","-1.94%"
"Jun 04, 2013","5,348.28","5,330.50","5,362.20","5,293.60","157.85M","0.33%"
"Jun 03, 2013","5,330.50","5,329.70","5,390.00","5,319.10","148.80M","0.02%"
"May 31, 2013","5,329.65","5,360.60","5,401.90","5,317.30","308.35M","-0.40%"
"May 30, 2013","5,350.87","5,394.40","5,394.40","5,308.20","211.20M","-0.81%"
"May 29, 2013","5,394.42","5,463.90","5,499.40","5,389.20","158.10M","-1.27%"
"May 28, 2013","5,463.94","5,444.10","5,486.80","5,428.80","139.23M","0.32%"
"May 27, 2013","5,446.54","5,451.80","5,459.00","5,404.10","133.78M","-0.16%"
"May 24, 2013","5,455.28","5,545.40","5,585.50","5,419.70","215.99M","-1.63%"
"May 23, 2013","5,545.41","5,689.40","5,689.40","5,535.80","258.04M","-2.70%"
"May 22, 2013","5,699.20","5,765.00","5,774.50","5,691.30","204.28M","-1.11%"
"May 21, 2013","5,763.44","5,816.80","5,816.80","5,741.00","140.26M","-0.91%"
"May 20, 2013","5,816.32","5,777.80","5,862.80","5,777.80","121.84M","0.73%"
"May 17, 2013","5,773.91","5,761.70","5,793.70","5,761.70","173.02M","0.32%"
"May 16, 2013","5,755.25","5,783.50","5,822.30","5,743.40","170.89M","-0.49%"
"May 15, 2013","5,783.47","5,790.00","5,843.10","5,752.50","156.32M","0.02%"
"May 14, 2013","5,782.36","5,765.90","5,792.80","5,763.50","128.92M","0.29%"
"May 13, 2013","5,765.91","5,755.00","5,778.70","5,729.10","177.88M","0.20%"
"May 10, 2013","5,754.45","5,776.20","5,828.60","5,740.40","122.04M","-0.42%"
"May 09, 2013","5,778.44","5,780.20","5,797.30","5,754.00","185.18M","-0.53%"
"May 08, 2013","5,809.21","5,743.90","5,815.20","5,743.90","147.66M","1.30%"
"May 07, 2013","5,734.84","5,800.60","5,803.20","5,718.30","156.59M","-1.13%"
"May 06, 2013","5,800.21","5,810.90","5,875.30","5,791.40","104.71M","-0.03%"
"May 03, 2013","5,802.10","5,824.40","5,908.70","5,802.10","116.04M","-0.38%"
"May 02, 2013","5,824.39","5,838.80","5,845.20","5,806.70","108.28M","-0.25%"
"May 01, 2013","5,838.80","5,851.60","5,856.60","5,809.70","133.37M","-0.21%"
"Apr 30, 2013","5,851.37","5,707.60","5,858.30","5,707.60","186.75M","2.52%"
"Apr 29, 2013","5,707.63","5,649.50","5,715.10","5,649.50","100.44M","1.03%"
"Apr 26, 2013","5,649.47","5,684.90","5,700.80","5,647.90","131.29M","-0.56%"
"Apr 24, 2013","5,681.55","5,572.00","5,687.10","5,572.00","236.96M","2.12%"
"Apr 23, 2013","5,563.78","5,503.70","5,576.00","5,503.70","124.23M","1.09%"
"Apr 22, 2013","5,503.67","5,476.30","5,506.80","5,476.30","98.96M","0.50%"
"Apr 19, 2013","5,476.33","5,532.40","5,561.80","5,474.80","142.30M","-1.01%"
"Apr 18, 2013","5,532.44","5,563.10","5,591.90","5,529.00","220.93M","-0.60%"
"Apr 17, 2013","5,566.06","5,490.20","5,566.80","5,490.20","166.71M","1.38%"
"Apr 16, 2013","5,490.16","5,494.10","5,500.10","5,460.70","157.34M","-0.07%"
"Apr 15, 2013","5,494.07","5,484.30","5,514.50","5,467.30","154.60M","0.14%"
"Apr 12, 2013","5,486.14","5,470.00","5,495.80","5,470.00","181.68M","0.35%"
"Apr 11, 2013","5,467.19","5,396.40","5,467.20","5,396.40","168.37M","1.31%"
"Apr 10, 2013","5,396.43","5,433.60","5,433.60","5,384.80","175.97M","-0.69%"
"Apr 09, 2013","5,434.05","5,347.70","5,434.10","5,347.70","160.40M","1.61%"
"Apr 08, 2013","5,347.74","5,338.60","5,360.10","5,320.10","139.91M","0.17%"
"Apr 05, 2013","5,338.64","5,394.30","5,399.80","5,338.00","167.30M","-1.00%"
"Apr 04, 2013","5,392.82","5,423.40","5,437.90","5,378.30","154.40M","-0.62%"
"Apr 03, 2013","5,426.44","5,448.20","5,489.00","5,396.70","195.60M","-0.31%"
"Apr 02, 2013","5,443.43","5,392.80","5,443.40","5,390.80","160.00M","0.32%"
"Apr 01, 2013","5,426.00","5,392.80","5,439.70","5,390.80","-","0.62%"
"Mar 28, 2013","5,392.80","5,408.60","5,419.00","5,357.10","265.40M","-0.29%"
"Mar 27, 2013","5,408.64","5,368.90","5,408.60","5,355.50","142.29M","0.86%"
"Mar 26, 2013","5,362.38","5,403.30","5,403.60","5,353.70","156.07M","-0.88%"
"Mar 25, 2013","5,409.85","5,366.60","5,441.40","5,366.60","139.42M","-0.50%"
"Mar 24, 2013","5,436.90","5,366.60","5,441.40","5,366.60","-","1.34%"
"Mar 22, 2013","5,364.90","5,335.20","5,391.50","5,309.10","142.45M","0.50%"
"Mar 21, 2013","5,338.01","5,340.60","5,384.00","5,324.40","256.60M","-0.05%"
"Mar 20, 2013","5,340.60","5,345.50","5,372.20","5,298.40","172.05M","-0.09%"
"Mar 19, 2013","5,345.48","5,375.50","5,431.30","5,345.48","208.72M","-0.40%"
"Mar 18, 2013","5,366.94","5,466.40","5,466.40","5,360.10","189.18M","-0.44%"
"Mar 17, 2013","5,390.60","5,466.40","5,466.40","5,387.70","-","-1.67%"
"Mar 15, 2013","5,481.98","5,379.90","5,482.00","5,379.90","285.57M","1.90%"
"Mar 14, 2013","5,379.91","5,440.70","5,466.20","5,379.90","175.48M","-1.05%"
"Mar 13, 2013","5,437.02","5,518.90","5,518.90","5,435.90","163.55M","-1.46%"
"Mar 12, 2013","5,517.70","5,526.00","5,555.50","5,512.40","152.76M","-0.07%"
"Mar 11, 2013","5,521.56","5,492.70","5,528.40","5,487.80","134.52M","0.38%"
"Mar 10, 2013","5,500.60","5,492.70","5,512.60","5,492.70","-","0.15%"
"Mar 08, 2013","5,492.28","5,487.40","5,510.00","5,460.50","149.24M","0.09%"
"Mar 07, 2013","5,487.43","5,495.80","5,517.60","5,438.60","166.83M","-0.15%"
"Mar 06, 2013","5,495.46","5,446.10","5,529.40","5,446.10","193.24M","0.91%"
"Mar 05, 2013","5,446.12","5,340.00","5,470.50","5,340.00","187.25M","1.99%"
"Mar 04, 2013","5,339.98","5,399.80","5,423.90","5,335.20","184.53M","-1.33%"
"Mar 03, 2013","5,412.00","5,399.80","5,423.90","5,393.00","-","0.23%"
"Mar 01, 2013","5,399.80","5,393.70","5,409.00","5,362.60","384.94M","0.11%"
"Feb 28, 2013","5,393.73","5,324.90","5,412.20","5,324.90","429.87M","1.29%"
"Feb 27, 2013","5,324.95","5,303.40","5,339.20","5,303.40","136.41M","0.54%"
"Feb 26, 2013","5,296.56","5,331.70","5,334.90","5,250.40","156.48M","-0.97%"
"Feb 25, 2013","5,348.24","5,301.10","5,350.70","5,301.10","144.53M","0.23%"
"Feb 24, 2013","5,335.80","5,301.10","5,347.20","5,301.10","-","0.71%"
"Feb 22, 2013","5,298.40","5,255.50","5,363.30","5,255.50","180.54M","0.82%"
"Feb 21, 2013","5,255.54","5,394.70","5,404.40","5,255.50","206.75M","-2.38%"
"Feb 20, 2013","5,383.82","5,337.90","5,392.00","5,337.90","213.28M","0.86%"
"Feb 19, 2013","5,337.94","5,314.60","5,337.90","5,287.20","131.26M","0.44%"
"Feb 18, 2013","5,314.62","5,264.40","5,317.70","5,237.50","187.72M","0.30%"
"Feb 17, 2013","5,298.60","5,264.40","5,299.40","5,237.50","-","0.80%"
"Feb 15, 2013","5,256.52","5,232.70","5,278.70","5,231.80","164.04M","0.22%"
"Feb 14, 2013","5,244.74","5,222.30","5,255.40","5,204.70","172.77M","0.43%"
"Feb 13, 2013","5,222.29","5,149.50","5,242.90","5,149.50","169.57M","1.41%"
