"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2010","8,091.03","8,146.30","8,150.00","8,048.10","58.07M","-0.95%"
"Oct 28, 2010","8,168.62","8,119.00","8,178.00","8,086.50","42.05M","0.64%"
"Oct 27, 2010","8,116.84","8,245.90","8,246.20","8,097.50","33.09M","-1.62%"
"Oct 26, 2010","8,250.81","8,291.50","8,291.50","8,215.20","41.05M","-0.49%"
"Oct 25, 2010","8,291.20","8,243.50","8,315.40","8,241.00","24.72M","0.58%"
"Oct 22, 2010","8,243.18","8,214.50","8,250.30","8,208.20","27.50M","0.34%"
"Oct 21, 2010","8,214.85","8,159.40","8,266.30","8,158.90","38.31M","0.79%"
"Oct 20, 2010","8,150.66","8,155.30","8,166.10","8,082.00","38.09M","-0.05%"
"Oct 19, 2010","8,154.70","8,109.30","8,185.50","8,100.90","53.77M","0.56%"
"Oct 18, 2010","8,108.98","8,144.10","8,147.00","8,068.90","23.56M","-0.45%"
"Oct 15, 2010","8,145.42","8,174.80","8,182.30","8,125.60","26.93M","-0.36%"
"Oct 14, 2010","8,175.10","8,140.00","8,209.30","8,139.30","36.10M","0.43%"
"Oct 13, 2010","8,140.29","8,151.30","8,211.70","8,133.00","38.45M","-0.02%"
"Oct 12, 2010","8,141.92","8,252.20","8,252.80","8,111.70","29.14M","-1.33%"
"Oct 11, 2010","8,251.83","8,331.40","8,341.10","8,224.50","43.95M","-0.96%"
"Oct 08, 2010","8,331.72","8,351.60","8,384.10","8,302.50","78.22M","-0.24%"
"Oct 07, 2010","8,351.91","8,345.40","8,352.00","8,282.10","33.33M","0.07%"
"Oct 06, 2010","8,345.68","8,273.50","8,361.10","8,273.50","39.50M","0.87%"
"Oct 05, 2010","8,273.77","8,216.00","8,300.70","8,154.80","37.76M","0.70%"
"Oct 04, 2010","8,216.33","8,143.60","8,247.50","8,143.60","18.03M","0.90%"
"Oct 01, 2010","8,143.28","8,135.30","8,204.00","8,083.20","25.72M","0.19%"
"Sep 30, 2010","8,127.95","8,263.10","8,294.10","8,127.90","60.16M","-1.63%"
"Sep 29, 2010","8,262.76","8,396.10","8,416.80","8,248.20","50.42M","-1.58%"
"Sep 28, 2010","8,395.39","8,415.40","8,438.90","8,355.00","36.53M","-0.23%"
"Sep 27, 2010","8,415.09","8,250.00","8,421.70","8,249.70","34.66M","2.01%"
"Sep 24, 2010","8,249.68","8,272.10","8,272.70","8,186.50","43.86M","-0.27%"
"Sep 23, 2010","8,272.13","8,247.90","8,297.60","8,232.40","28.68M","0.24%"
"Sep 22, 2010","8,252.15","8,175.70","8,280.80","8,175.40","40.25M","0.94%"
"Sep 21, 2010","8,175.42","8,211.50","8,270.90","8,167.50","30.65M","-0.43%"
"Sep 20, 2010","8,210.85","8,230.90","8,230.90","8,160.70","22.36M","-0.24%"
"Sep 17, 2010","8,230.54","8,200.30","8,238.40","8,186.80","37.60M","0.40%"
"Sep 16, 2010","8,197.90","8,212.70","8,232.10","8,197.10","64.95M","-0.11%"
"Sep 15, 2010","8,206.59","8,210.90","8,259.60","8,189.30","64.67M","0.02%"
"Sep 14, 2010","8,205.32","8,236.00","8,251.90","8,199.00","42.93M","-0.38%"
"Sep 13, 2010","8,236.34","8,241.20","8,275.90","8,224.80","49.17M","0.06%"
"Sep 10, 2010","8,231.23","8,280.90","8,316.60","8,222.30","80.30M","-0.60%"
"Sep 09, 2010","8,280.59","8,232.30","8,286.40","8,230.40","68.29M","0.69%"
"Sep 08, 2010","8,223.80","8,188.50","8,277.80","8,188.50","67.17M","0.43%"
"Sep 07, 2010","8,188.83","8,216.60","8,221.50","8,162.70","50.58M","-0.34%"
"Sep 06, 2010","8,216.89","8,140.70","8,220.20","8,140.70","51.09M","0.94%"
"Sep 03, 2010","8,140.43","8,107.90","8,171.10","8,107.70","41.94M","0.28%"
"Sep 02, 2010","8,117.41","8,050.80","8,117.70","8,050.80","85.86M","0.84%"
"Sep 01, 2010","8,050.15","7,917.90","8,064.50","7,917.90","79.09M","1.67%"
"Aug 31, 2010","7,917.89","7,945.20","7,978.00","7,911.90","60.20M","-0.35%"
"Aug 30, 2010","7,945.55","7,859.30","7,970.60","7,859.30","40.64M","1.09%"
"Aug 27, 2010","7,859.62","7,775.50","7,881.90","7,751.20","53.96M","1.08%"
"Aug 26, 2010","7,775.84","7,621.00","7,835.10","7,616.30","91.55M","2.04%"
"Aug 25, 2010","7,620.68","7,708.10","7,708.10","7,609.80","90.79M","-1.14%"
"Aug 24, 2010","7,708.41","7,848.20","7,849.80","7,669.30","76.91M","-2.14%"
"Aug 23, 2010","7,876.87","7,808.10","7,891.90","7,808.10","172.96M","0.88%"
"Aug 20, 2010","7,808.38","7,809.40","7,841.90","7,744.30","150.37M","-0.01%"
"Aug 19, 2010","7,809.04","7,774.80","7,817.40","7,704.00","165.57M","0.40%"
"Aug 18, 2010","7,778.13","7,686.90","7,805.10","7,686.90","116.92M","1.19%"
"Aug 17, 2010","7,686.86","7,661.20","7,717.00","7,616.90","93.96M","0.34%"
"Aug 16, 2010","7,660.52","7,615.90","7,686.00","7,551.20","163.75M","0.49%"
"Aug 13, 2010","7,623.35","7,527.40","7,623.30","7,526.70","47.63M","1.29%"
"Aug 12, 2010","7,526.15","7,530.40","7,553.10","7,490.70","47.67M","-0.06%"
"Aug 11, 2010","7,530.77","7,643.80","7,658.80","7,530.80","44.36M","-1.46%"
"Aug 10, 2010","7,642.60","7,670.40","7,679.00","7,626.00","97.96M","-0.35%"
"Aug 09, 2010","7,669.06","7,636.80","7,685.20","7,599.40","70.32M","0.42%"
"Aug 06, 2010","7,637.07","7,563.90","7,647.00","7,561.10","53.29M","1.01%"
"Aug 05, 2010","7,560.35","7,509.00","7,581.90","7,509.00","38.80M","0.70%"
"Aug 04, 2010","7,507.99","7,528.50","7,529.30","7,494.80","33.24M","-0.27%"
"Aug 03, 2010","7,528.53","7,551.90","7,558.40","7,510.40","42.88M","-0.31%"
"Aug 02, 2010","7,552.20","7,520.40","7,586.10","7,520.10","28.53M","0.42%"
"Jul 30, 2010","7,520.39","7,530.10","7,539.20","7,491.50","58.56M","-0.18%"
"Jul 29, 2010","7,533.81","7,546.30","7,584.80","7,525.00","38.83M","-0.19%"
"Jul 28, 2010","7,548.25","7,472.40","7,567.90","7,467.60","38.04M","1.01%"
"Jul 27, 2010","7,472.72","7,451.70","7,524.90","7,451.70","27.12M","0.29%"
"Jul 26, 2010","7,451.06","7,364.00","7,491.80","7,355.90","36.08M","1.14%"
"Jul 23, 2010","7,367.19","7,279.40","7,406.90","7,278.80","47.30M","1.21%"
"Jul 22, 2010","7,278.80","7,313.10","7,327.60","7,274.10","35.46M","-0.49%"
"Jul 21, 2010","7,314.92","7,409.40","7,409.40","7,299.60","25.45M","-1.27%"
"Jul 20, 2010","7,408.70","7,336.60","7,444.70","7,336.60","29.48M","0.98%"
"Jul 19, 2010","7,336.62","7,369.30","7,370.10","7,313.10","27.12M","-0.63%"
"Jul 16, 2010","7,382.81","7,444.70","7,477.40","7,366.40","28.46M","-0.83%"
"Jul 15, 2010","7,444.35","7,502.00","7,502.40","7,418.90","34.08M","-0.77%"
"Jul 14, 2010","7,502.28","7,418.20","7,504.70","7,417.90","32.97M","1.14%"
"Jul 13, 2010","7,417.60","7,413.60","7,483.10","7,406.40","49.50M","0.05%"
"Jul 12, 2010","7,413.88","7,427.80","7,439.30","7,390.00","52.56M","-0.19%"
"Jul 09, 2010","7,428.16","7,402.80","7,449.50","7,361.90","42.86M","0.34%"
"Jul 08, 2010","7,403.16","7,235.80","7,403.20","7,235.80","54.99M","2.33%"
"Jul 07, 2010","7,234.48","7,219.80","7,240.60","7,170.40","43.02M","0.20%"
"Jul 06, 2010","7,220.12","7,213.50","7,223.80","7,150.40","50.21M","0.08%"
"Jul 05, 2010","7,214.45","7,291.40","7,312.60","7,202.10","67.57M","-1.05%"
"Jul 02, 2010","7,291.17","7,243.80","7,301.40","7,243.80","51.05M","0.66%"
