"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 18, 2013","2,377.75","2,377.75","2,377.75","2,377.75","-","0.62%"
"Jul 17, 2013","2,362.99","2,362.99","2,362.99","2,362.99","-","-0.76%"
"Jul 16, 2013","2,381.09","2,381.09","2,381.09","2,381.09","-","-0.04%"
"Jul 15, 2013","2,381.96","2,381.96","2,381.96","2,381.96","-","0.24%"
"Jul 12, 2013","2,376.14","2,376.14","2,376.14","2,376.14","-","-0.39%"
"Jul 11, 2013","2,385.43","2,385.43","2,385.43","2,385.43","-","-0.33%"
"Jul 10, 2013","2,393.28","2,393.28","2,393.28","2,393.28","-","-0.96%"
"Jul 09, 2013","2,416.56","2,416.56","2,416.56","2,416.56","-","1.88%"
"Jul 08, 2013","2,371.95","2,371.95","2,371.95","2,371.95","-","-1.65%"
"Jul 05, 2013","2,411.75","2,411.75","2,411.75","2,411.75","-","1.60%"
"Jul 04, 2013","2,373.70","2,373.70","2,373.70","2,373.70","-","0.76%"
"Jul 03, 2013","2,355.76","2,355.76","2,355.76","2,355.76","-","-1.99%"
"Jul 02, 2013","2,403.66","2,403.66","2,403.66","2,403.66","-","3.22%"
"Jul 01, 2013","2,328.61","2,328.61","2,328.61","2,328.61","-","-1.95%"
"Jun 28, 2013","2,374.81","2,374.81","2,374.81","2,374.81","-","0.90%"
"Jun 27, 2013","2,353.55","2,353.55","2,353.55","2,353.55","-","1.75%"
"Jun 26, 2013","2,313.10","2,313.10","2,313.10","2,313.10","-","1.62%"
"Jun 25, 2013","2,276.13","2,276.13","2,276.13","2,276.13","-","-1.03%"
"Jun 24, 2013","2,299.83","2,299.83","2,299.83","2,299.83","-","-1.24%"
"Jun 21, 2013","2,328.82","2,328.82","2,328.82","2,328.82","-","-1.29%"
"Jun 20, 2013","2,359.27","2,359.27","2,359.27","2,359.27","-","-2.49%"
"Jun 19, 2013","2,419.63","2,419.63","2,419.63","2,419.63","-","1.50%"
"Jun 18, 2013","2,383.90","2,383.90","2,383.90","2,383.90","-","1.50%"
"Jun 17, 2013","2,348.57","2,348.57","2,348.57","2,348.57","-","0.06%"
"Jun 14, 2013","2,347.16","2,347.16","2,347.16","2,347.16","-","0.70%"
"Jun 13, 2013","2,330.95","2,330.95","2,330.95","2,330.95","-","-0.95%"
"Jun 12, 2013","2,353.40","2,353.40","2,353.40","2,353.40","-","-0.58%"
