"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2018","29,766.80","29,436.10","29,766.80","29,260.40","57.48M","1.12%"
"Nov 09, 2018","29,436.10","29,373.30","29,717.60","29,134.80","70.64M","0.21%"
"Nov 08, 2018","29,373.30","29,027.20","29,610.30","29,024.10","23.13M","1.19%"
"Nov 07, 2018","29,027.20","28,922.30","29,058.10","28,664.70","23.26M","0.36%"
"Nov 06, 2018","28,922.30","28,751.50","29,243.30","28,697.40","15.79M","-0.23%"
"Nov 05, 2018","28,990.30","29,627.10","29,627.10","28,939.60","27.40M","-2.15%"
"Nov 02, 2018","29,627.10","29,196.30","29,761.00","29,189.00","29.74M","1.48%"
"Nov 01, 2018","29,196.30","29,136.90","29,483.40","28,957.90","24.48M","0.20%"
"Oct 31, 2018","29,136.90","29,033.50","29,225.90","28,634.00","40.63M","0.36%"
"Oct 30, 2018","29,033.50","28,505.90","29,033.50","28,113.30","44.64M","1.85%"
"Oct 29, 2018","28,505.90","27,758.70","28,662.20","27,758.70","28.08M","2.69%"
"Oct 26, 2018","27,758.70","27,611.00","27,992.40","27,574.50","41.95M","0.53%"
"Oct 25, 2018","27,611.00","28,646.80","28,646.80","27,611.00","42.48M","-3.62%"
"Oct 24, 2018","28,646.80","28,456.00","28,876.20","28,301.60","40.71M","0.67%"
"Oct 23, 2018","28,456.00","28,779.00","28,779.00","28,345.20","57.44M","-1.12%"
"Oct 22, 2018","28,779.00","29,279.40","29,279.40","28,770.00","20.78M","-1.71%"
"Oct 19, 2018","29,279.40","29,486.10","29,486.10","28,859.90","22.72M","-0.70%"
"Oct 18, 2018","29,486.10","29,948.80","29,964.20","29,460.70","26.64M","-1.54%"
"Oct 17, 2018","29,948.80","29,204.30","29,980.40","29,203.20","28.01M","2.55%"
"Oct 16, 2018","29,204.30","29,302.60","29,424.30","28,944.90","27.55M","-0.34%"
"Oct 15, 2018","29,302.60","29,384.60","29,782.10","29,049.00","26.49M","-0.28%"
"Oct 12, 2018","29,384.60","29,094.50","29,470.40","28,835.10","30.80M","1.00%"
"Oct 11, 2018","29,094.50","30,136.10","30,136.10","29,024.10","35.98M","-3.46%"
"Oct 10, 2018","30,136.10","29,702.80","30,347.20","29,699.70","31.62M","1.46%"
"Oct 09, 2018","29,702.80","30,923.00","30,923.00","29,570.40","30.72M","-3.95%"
"Oct 08, 2018","30,923.00","31,285.50","31,373.10","30,918.60","16.82M","-1.16%"
"Oct 05, 2018","31,285.50","31,289.50","31,390.90","31,114.10","21.38M","-0.01%"
"Oct 04, 2018","31,289.50","31,145.60","31,449.30","31,145.60","27.93M","0.46%"
"Oct 03, 2018","31,145.60","31,101.30","31,168.30","30,955.30","22.16M","0.14%"
"Oct 02, 2018","31,101.30","31,528.80","31,532.50","30,981.20","29.87M","-1.36%"
"Oct 01, 2018","31,528.80","31,325.60","31,628.00","31,199.20","14.57M","0.65%"
"Sep 28, 2018","31,325.60","31,409.00","31,737.90","31,325.60","32.25M","-0.27%"
"Sep 27, 2018","31,409.00","31,540.00","31,676.50","31,391.70","37.38M","-0.42%"
"Sep 26, 2018","31,540.00","31,758.90","31,758.90","31,439.30","37.89M","-0.69%"
"Sep 25, 2018","31,758.90","31,609.80","31,847.40","31,577.70","26.77M","0.47%"
"Sep 24, 2018","31,609.80","31,880.10","31,880.10","31,481.60","21.82M","-0.85%"
